PsgcCode,DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
0931700001,2017,8,0,2017,6,02-06-2017,27.06,27.20,77.86,84.00,0.90,1.90,53,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2017,9,1,2017,7,02-13-2017,26.73,27.30,74.86,88.00,1.19,3.40,3,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,10,0,2017,8,02-20-2017,27.17,27.90,81.57,85.00,4.63,23.60,3,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,11,0,2017,9,02-27-2017,27.24,27.60,80.00,84.00,1.61,3.40,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,12,0,2017,10,03-06-2017,26.24,26.80,85.43,89.00,16.37,45.00,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2017,13,0,2017,11,03-13-2017,26.70,27.00,84.71,88.00,4.04,8.70,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,14,0,2017,12,03-20-2017,27.10,27.60,83.29,86.00,2.56,13.80,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2017,15,0,2017,13,03-27-2017,26.90,27.50,85.43,89.00,8.69,18.80,63,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2017,16,2,2017,14,04-03-2017,27.09,27.30,85.14,88.00,2.64,7.70,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,17,2,2017,15,04-10-2017,27.30,27.60,84.00,88.00,3.09,16.30,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2017,18,2,2017,16,04-17-2017,27.34,27.70,86.57,88.00,4.76,8.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
